,index,alcoholName,sweetness,sourness,freshness,body,degree,sparkling,alcoholType,keywords,volume,price,manufacturer,ingredients,brewery,description,representative,address,contact,website,foodPairing,imageURL,detailPageUrl,docId
0,0,1000억 막걸리 프리바이오,3.0,4.0,3.0,3,5,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀 밀,750ml,3500,(주)국순당,"쌀(국내산), 밀(국내산), 누룩, 정제수",,"전통주의 명가 (주)국순당에서 생산하는 1000억 막걸리 프리바이오는 내 몸속의 좋은 유산균을 키워주고 나쁜 유해균을 억제시키는 역할을 하며 장내 유익균의 먹이가 되는 성분인 프리바이오틱스를 함유한 막걸리다. 식물성 유산균을 특화한 국순당의 1000억 유산균 막걸리와 동일 과정으로 유산균을 만들어 내고 (두 번의 쌀 발효와 세 번의 유산균 발효) 이후의 공정에서 유산균의 먹이가 되는 프리바이오틱스를 만들어 낸다. 1000억 유산균 막걸리가 내 몸속에 식물성 유산균을 늘려주면, 1000억 막걸리 프리바이오는 식물성 유산균이 잘 활성화 되도록 해 주는 역할을 한다.",,,,,여름에는 시원하게 생맥주 잔에 마셔도 전혀 어색하지 않은 청량감도 가지고 있다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040729-1000%EC%96%B5%20%EB%A7%89%EA%B1%B8%EB%A6%AC%20%ED%94%84%EB%A6%AC%EB%B0%94%EC%9D%B4%EC%98%A4_main.png,https://terms.naver.com/entry.naver?docId=6040729&cid=58637&categoryId=58652,6040729
1,1,1000억 유산균막걸리,3.0,5.0,5.0,3,5,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀 밀  저도수,750ml,3200,(주)국순당,"쌀(국내산), 밀(국내산), 누룩, 정제수",,"전통주의 명가 (주)국순당에서 생산하는 1000억 유산균 막걸리는 김치 유산균인 식물성 유산균으로 생존력이 뛰어나 장까지 살아가며, 유산균 1000억 마리는 일반 생막걸리(국순당 생막걸리) 보다 1000배 유산균음료 기준보다 100배나 많은 양이다. 1000억 유산균 막걸리는 앞서가는 국순당의 기술로 2번의 쌀 발효와 3번의 유산균 발효를 적용하여 1000억 마리 이상(700ml 기준)의 유산균을 만들어낸 일반 막걸리의 한계를 뛰어넘은 막걸리다. 상큼한 신맛과 막걸리 특유의 바디감이 특징인 1000억 유산균막걸리는 매운 음식의 매운맛과 잘 어울린다.",,,,,운동 전후에도 마시면 피로감이 풀릴 듯 한 감식초와 같은 식감도 느껴진다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040728-1000%EC%96%B5%20%EC%9C%A0%EC%82%B0%EA%B7%A0%EB%A7%89%EA%B1%B8%EB%A6%AC_main.png,https://terms.naver.com/entry.naver?docId=6040728&cid=58637&categoryId=58652,6040728
2,2,1932 새싹땅콩 햅쌀막걸리,2.0,2.0,3.0,5,6,0.0,탁주,청량감 바디감     탁주 쌀 땅콩,900ml,15000,(주)1932포천일동막걸리,"쌀(국내산), 땅콩농축액, 입국, 효모, 고과당, 정제효소제, 정제수",,당해년도 햅쌀과 새싹땅콩농축액을 주원료로 생쌀 발효법으로 제조한 프리미엄 막걸리이다. 전통누룩에서 뽑아낸 우수한 균주를 사용하였다. 합성인공감미료를 전혀 사용하지 않은 제품으로 미생물 조절 발효 방식으로 냉장보관을 하여 개봉 후 뚜껑을 다시 닫아 냉장보관하여도 술맛에 변화가 없다. 1932 포천일동막걸리의 프리미엄 막걸리 제품이다.,,,,,케이크 등 디저트 음식과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595217-1932%20%EC%83%88%EC%8B%B9%EB%95%85%EC%BD%A9%20%ED%96%85%EC%8C%80%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=3595217&cid=58637&categoryId=58651,3595217
3,3,1932 새싹땅콩 흑미막걸리,3.0,1.0,1.0,4,6,0.0,탁주,단맛   바디감     탁주 쌀 땅콩,900ml,15000,(주)1932포천일동막걸리,"쌀(국내산), 흑미(15%), 땅콩농축액, 입국, 효모, 고과당, 정제효소제, 정제수",,당해년도 진도 흑미쌀과 새싹땅콩 농축액을 주원료로 생쌀 발효법으로 제조한 프리미엄 막걸리이다. 전통누룩에서 뽑아낸 우수한 균주를 사용하였다. 합성인공감미료를 전혀 사용하지 않은 제품으로 미생물 조절 발효 방식으로 냉장보관을 하여 개봉 후 뚜껑을 다시 닫아 냉장보관하여도 술맛에 변화가 없다. 1932 포천일동막걸리의 프리미엄 막걸리 제품이다.,,,,,돼지 갈비 등 구은 고기와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595216-1932%20%EC%83%88%EC%8B%B9%EB%95%85%EC%BD%A9%20%ED%9D%91%EB%AF%B8%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=3595216&cid=58637&categoryId=58651,3595216
4,4,33JU,3.0,,,1,18,0.0,증류주,향기 단맛        증류주 꿀 삼,200ml,23000,농업회사법인33가주식회사,"산양산삼, 주정, 결정과당, 효소처리스테비아, 에리스리톨, 호박산, 꿀",,"강원도 깊은 산의 정기를 가득 품은 7년근 이상의 산양산삼을 3일 동안 고온과 저온 추출하여 3,333시간 숙성한 전통주로, 진하게 녹아든 진세노사이드(사포닌) 성분과 산양산삼 고유의 향이 진하게 풍기고 부드럽게 넘어가는 33JU다.",,,,,"산양산삼 고유의 풍미가 진하게 느껴지고 부드러운 목 넘김으로 육사시미, 소고기구이, 회, 삼겹살과 잘 어울린다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598716-33JU_main.jpg,https://terms.naver.com/entry.naver?docId=6598716&cid=58637&categoryId=58652,6598716
5,5,52C,3.0,,,2,17.5,0.0,증류주,향기 단맛        증류주 쌀,500ml,10000,농업회사법인(주)청산녹수,"정제수, 주정, 쌀증류식소주원액, 오이",,예전에 오이소주를 즐기던 사람이라면 오이 맛과 오이 향기만 있을 거라고 생각 할 수도 있다. 하지만 52C는 상압 증류한 쌀증류식 소주의 맛과 향기를 베이스로 지니고 있다. 여기에 오이향과 함께 연한 멜론향의 특징을 지니고 있다. 차게 해서 마셨을 경우 부드러운 증류식소주원액 베이스에 오이 특유의 시원한 청량감이 더해져 무더운 여름철 최고의 선택이 될 수 있다. 52C의 색감은 연한 연두색으로 자연이 주는 초록의 신선함을 눈으로도 즐길 수 있다.,,,,,곱창구이와 잘 어우러진다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598734-52C_main.png,https://terms.naver.com/entry.naver?docId=6598734&cid=58637&categoryId=58656,6598734
6,6,DMZ 240km,2.0,,,3,25,0.0,기타주류,바디감     기타주류 꿀 버섯,450ml,10000,솔래원,"자연송이버섯, 브랜디원액, 블랙커런트, 벌꿀",,"DMZ는 한국 전쟁 이후 1953년 체결된 정전 협정에 따라 남북한의 군사적 충돌을 방지하기 위해 설정된 비무장 지대로써 일반인의 출입이 엄격이 금지된 아시아 최대의 자연보호지역이다. 제조사 솔래원이 제조한 'DMZ 240km'는 이곳의 평화, 친환경, 협력의 염원을 담아 만든 술이다.",,,,,회무침과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595290-DMZ%20240km450ml_main.JPG,https://terms.naver.com/entry.naver?docId=3595290&cid=58637&categoryId=58652,3595290
7,7,G12 골디락스,2.0,2.0,2.0,3,12,0.0,탁주,바디감     탁주 쌀 찹쌀 밀  무감미료,500ml,12000,농업회사법인(주)청산녹수,"정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩, 종국, 효모, 밀함유",,너무 달지도 않고 신맛도 강하지 않은 밸런스가 딱 좋은 무첨가 프리미엄 탁주. 단맛을 즐기는 전통주 입문자와 이제 자신의 취향에 맛은 맛을 찾아가는 우리술 중급자에게 딱 맞는 막걸리이다.,,,,,"닭백숙, 오리백숙, 편육, 새우젓, 겉절이와 함께 먹기에 좋다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598732-G12%20%EA%B3%A8%EB%94%94%EB%9D%BD%EC%8A%A4_main.jpg,https://terms.naver.com/entry.naver?docId=6598732&cid=58637&categoryId=58656,6598732
8,8,The 찾을수록 시리즈,4.0,2.0,3.0,2,16,0.0,과실주,단맛  청량감      과실주 사과,360ml,9000,(주)한국애플리즈,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)",,"경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아, 청포도, 사과, 감귤, 생강, 아메리카노를 가미하여 탄생한 6종의 사과소주는 미국을 비롯한 8개국에 수출되어 활발하게 판매중이다.",,,,,다만 병 디자인을 생각하면 가벼운 스낵 등도 즐길 수 있다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681200-The%20%EC%B0%BE%EC%9D%84%EC%88%98%EB%A1%9D%20%EC%8B%9C%EB%A6%AC%EC%A6%88_main.jpg,https://terms.naver.com/entry.naver?docId=5681200&cid=58637&categoryId=58657,5681200
9,9,가덕 순쌀 막걸리,3.0,3.0,3.0,3,6,1.0,탁주,단맛 신맛 청량감 바디감  담백  탄산 탁주 쌀,750ml,13500,농업회사법인명세주가(주),"국내산 쌀, 효모, 조효소재, 물엿, 아스파탐, 정제수",,"'가덕 순쌀 막걸리'는 충북 청주시에 위치한 양조장 명세주가에서 국내산 쌀로 정성껏 빚은 막걸리이다. 명세주가는 경영주가 청원생명쌀의 고장인 청원군 가덕면 한계리에서 농약을 사용하지 않고 우렁이 농법으로 친환경 재배한 지역 쌀을 원료로 막걸리, 약주, 증류주 등 다양한 제품을 생산하고 있다. 좋은 술을 만들기 위해서는 원재료비가 비싸더라도 좋은 재료를 사용해야 한다는 경영철학으로 맛과 품질에서 당당히 소비자에게 내놓을 수 있는 술을 빚고 있다.",,,,,"미나리전, 고기 빈대떡, 오이무침, 족편 등 안주와 곁들이면 좋다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804461-%EA%B0%80%EB%8D%95%20%EC%88%9C%EC%8C%80%20%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=5804461&cid=58637&categoryId=58653,5804461
