,index,alcoholName,sweetness,sourness,freshness,body,degree,sparkling,alcoholType,keyword,volume,price,manufacturer,ingredients,foodPairing,imageURL,detailPageUrl,docId
0,0,1000억 막걸리 프리바이오,3.0,4.0,3.0,3,,0.0,,단맛 신맛 청량감 바디감     탁주 쌀 밀,,,,,여름에는 시원하게 생맥주 잔에 마셔도 전혀 어색하지 않은 청량감도 가지고 있다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040729-1000%EC%96%B5%20%EB%A7%89%EA%B1%B8%EB%A6%AC%20%ED%94%84%EB%A6%AC%EB%B0%94%EC%9D%B4%EC%98%A4_main.png,https://terms.naver.com/entry.naver?docId=6040729&cid=58637&categoryId=58652,6040729
1,1,1000억 유산균막걸리,3.0,5.0,5.0,3,,0.0,,단맛 신맛 청량감 바디감     탁주 쌀 밀  저도수,,,,,운동 전후에도 마시면 피로감이 풀릴 듯 한 감식초와 같은 식감도 느껴진다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040728-1000%EC%96%B5%20%EC%9C%A0%EC%82%B0%EA%B7%A0%EB%A7%89%EA%B1%B8%EB%A6%AC_main.png,https://terms.naver.com/entry.naver?docId=6040728&cid=58637&categoryId=58652,6040728
2,2,1932 새싹땅콩 햅쌀막걸리,2.0,2.0,3.0,5,,0.0,,청량감 바디감     탁주 쌀 땅콩,,,,,케이크 등 디저트 음식과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595217-1932%20%EC%83%88%EC%8B%B9%EB%95%85%EC%BD%A9%20%ED%96%85%EC%8C%80%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=3595217&cid=58637&categoryId=58651,3595217
3,3,1932 새싹땅콩 흑미막걸리,3.0,1.0,1.0,4,,0.0,,단맛   바디감     탁주 쌀 땅콩,,,,,돼지 갈비 등 구은 고기와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595216-1932%20%EC%83%88%EC%8B%B9%EB%95%85%EC%BD%A9%20%ED%9D%91%EB%AF%B8%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=3595216&cid=58637&categoryId=58651,3595216
4,4,33JU,3.0,,,1,,0.0,,향기 단맛        증류주 꿀 삼,,,,,"산양산삼 고유의 풍미가 진하게 느껴지고 부드러운 목 넘김으로 육사시미, 소고기구이, 회, 삼겹살과 잘 어울린다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598716-33JU_main.jpg,https://terms.naver.com/entry.naver?docId=6598716&cid=58637&categoryId=58652,6598716
5,5,52C,3.0,,,2,,0.0,,향기 단맛        증류주 쌀,,,,,곱창구이와 잘 어우러진다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598734-52C_main.png,https://terms.naver.com/entry.naver?docId=6598734&cid=58637&categoryId=58656,6598734
6,6,DMZ 240km,2.0,,,3,,0.0,,바디감     기타주류 꿀 버섯,,,,,회무침과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595290-DMZ%20240km_main.JPG,https://terms.naver.com/entry.naver?docId=3595290&cid=58637&categoryId=58652,3595290
7,7,G12 골디락스,2.0,2.0,2.0,3,,0.0,,바디감     탁주 쌀 찹쌀 밀  무감미료,,,,,"닭백숙, 오리백숙, 편육, 새우젓, 겉절이와 함께 먹기에 좋다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598732-G12%20%EA%B3%A8%EB%94%94%EB%9D%BD%EC%8A%A4_main.jpg,https://terms.naver.com/entry.naver?docId=6598732&cid=58637&categoryId=58656,6598732
8,8,The 찾을수록 시리즈,4.0,2.0,3.0,2,,0.0,,단맛  청량감      과실주 사과,,,,,다만 병 디자인을 생각하면 가벼운 스낵 등도 즐길 수 있다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681200-The%20%EC%B0%BE%EC%9D%84%EC%88%98%EB%A1%9D%20%EC%8B%9C%EB%A6%AC%EC%A6%88_main.jpg,https://terms.naver.com/entry.naver?docId=5681200&cid=58637&categoryId=58657,5681200
9,9,가덕 순쌀 막걸리,3.0,3.0,3.0,3,,1.0,,단맛 신맛 청량감 바디감  담백  탄산 탁주 쌀,,,,,"미나리전, 고기 빈대떡, 오이무침, 족편 등 안주와 곁들이면 좋다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804461-%EA%B0%80%EB%8D%95%20%EC%88%9C%EC%8C%80%20%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg,https://terms.naver.com/entry.naver?docId=5804461&cid=58637&categoryId=58653,5804461
