index,alcoholName,normalizedName,foodPairing,sweetness,sourness,freshness,body,degree,alcoholType,keywords,volume,priceValue,ingredients,description,imageUrl
0,1000억 막걸리 프리바이오,1000억막걸리프리바이오,여름에는 시원하게 생맥주 잔에 마셔도 전혀 어색하지 않은 청량감도 가지고 있다.,3,4,3,3,5,탁주,,750ml,3500,"쌀(국내산), 밀(국내산), 누룩, 정제수","전통주의 명가 (주)국순당에서 생산하는 1000억 막걸리 프리바이오는 내 몸속의 좋은 유산균을 키워주고 나쁜 유해균을 억제시키는 역할을 하며 장내 유익균의 먹이가 되는 성분인 프리바이오틱스를 함유한 막걸리다. 식물성 유산균을 특화한 국순당의 1000억 유산균 막걸리와 동일 과정으로 유산균을 만들어 내고 (두 번의 쌀 발효와 세 번의 유산균 발효) 이후의 공정에서 유산균의 먹이가 되는 프리바이오틱스를 만들어 낸다. 1000억 유산균 막걸리가 내 몸속에 식물성 유산균을 늘려주면, 1000억 막걸리 프리바이오는 식물성 유산균이 잘 활성화 되도록 해 주는 역할을 한다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040729-1000%EC%96%B5%20%EB%A7%89%EA%B1%B8%EB%A6%AC%20%ED%94%84%EB%A6%AC%EB%B0%94%EC%9D%B4%EC%98%A4_main.png
1,1000억 유산균막걸리,1000억유산균막걸리,"새콤함과 달콤함의 조화가 좋은 만큼 여름에 얼려서 슬러쉬로 먹어보면 무척 매력이 있을 듯하며, 신맛을 필요로 하는 보쌈, 족발 요리와의 조합이 기대된다.",3,5,5,3,5,탁주,,750ml,3200,"쌀(국내산), 밀(국내산), 누룩, 정제수","전통주의 명가 (주)국순당에서 생산하는 1000억 유산균 막걸리는 김치 유산균인 식물성 유산균으로 생존력이 뛰어나 장까지 살아가며, 유산균 1000억 마리는 일반 생막걸리(국순당 생막걸리) 보다 1000배 유산균음료 기준보다 100배나 많은 양이다. 1000억 유산균 막걸리는 앞서가는 국순당의 기술로 2번의 쌀 발효와 3번의 유산균 발효를 적용하여 1000억 마리 이상(700ml 기준)의 유산균을 만들어낸 일반 막걸리의 한계를 뛰어넘은 막걸리다. 상큼한 신맛과 막걸리 특유의 바디감이 특징인 1000억 유산균막걸리는 매운 음식의 매운맛과 잘 어울린다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040728-1000%EC%96%B5%20%EC%9C%A0%EC%82%B0%EA%B7%A0%EB%A7%89%EA%B1%B8%EB%A6%AC_main.png
2,1932 새싹땅콩 햅쌀막걸리,1932새싹땅콩햅쌀막걸리,케이크 등 디저트 음식과 잘 어울린다.,2,2,3,5,6,생막걸리,,900ml,20000,"쌀(국내산), 땅콩농축액, 입국, 효모, 고과당, 정제효소제, 정제수",당해년도 햅쌀과 새싹땅콩농축액을 주원료로 생쌀 발효법으로 제조한 프리미엄 막걸리이다. 전통누룩에서 뽑아낸 우수한 균주를 사용하였다. 합성인공감미료를 전혀 사용하지 않은 제품으로 미생물 조절 발효 방식으로 냉장보관을 하여 개봉 후 뚜껑을 다시 닫아 냉장보관하여도 술맛에 변화가 없다. 1932 포천일동막걸리의 프리미엄 막걸리 제품이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595217-1932%20%EC%83%88%EC%8B%B9%EB%95%85%EC%BD%A9%20%ED%96%85%EC%8C%80%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg
3,1932 새싹땅콩 흑미막걸리,1932새싹땅콩흑미막걸리,돼지 갈비 등 구운 고기와 잘 어울린다.,3,1,1,4,6,생막걸리,,900ml,20000,"쌀(국내산), 흑미(15%), 땅콩농축액, 입국, 효모, 고과당, 정제효소제, 정제수",당해년도 진도 흑미쌀과 새싹땅콩 농축액을 주원료로 생쌀 발효법으로 제조한 프리미엄 막걸리이다. 전통누룩에서 뽑아낸 우수한 균주를 사용하였다. 합성인공감미료를 전혀 사용하지 않은 제품으로 미생물 조절 발효 방식으로 냉장보관을 하여 개봉 후 뚜껑을 다시 닫아 냉장보관하여도 술맛에 변화가 없다. 1932 포천일동막걸리의 프리미엄 막걸리 제품이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595216-1932%20%EC%83%88%EC%8B%B9%EB%95%85%EC%BD%A9%20%ED%9D%91%EB%AF%B8%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg
4,1950 씨유엣더탑 감귤와인,1950씨유엣더탑감귤와인,"감귤 와인의 상큼함과 과일 향이 잘 어울리는 해산물 요리, 치즈와 잘 어울린다.",2,2,1,3,12,과실주,,750ml,42000,"제주산 감귤, 효모, 정제수","감귤와인 ‘1950 SEE YOU AT THE TOP’은 제주의 감귤농가에서 엄선된 100% 제주산 감귤을 이용해 발효와 숙성을 거쳐 만든 화이트와인이다. 연한 옐로우톤의 감귤와인은 오크 숙성을 통해 신비스러운 연한 호박색을 띤다. 감귤을 발효하면서 생기는 아로마향과 부케향이 조화를 이루어 여운이 인상적이다. 감귤와인 1950의 달콤하면서 가볍지 않은 풍미는 식전 건배주나 식후 디저트 와인으로 자리매김했으며, 2010 한·중·일 정상회담의 공식 건배주, 2011 G-20 정상회의(SMGW) 공식만찬주로 선정된 와인이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6743429-1950%20%EC%94%A8%EC%9C%A0%EC%97%A3%EB%8D%94%ED%83%91%20%EA%B0%90%EA%B7%A4%EC%99%80%EC%9D%B8_main.png
5,264 청포도와인 광야 375ml,264청포도와인광야375ml,"광어 세비체, 흰살 생선 회, 유린기, 깐풍기와 더불어 산미가 있기 때문에 기름진 한우 구이나 족발과도 페어링이 좋다.",1,4,4,2,12.5,과실주,과일류,375ml,22000,"청포도, 설탕, 메타중아황산칼륨, 효모","“264청포도와인 광야”는 이육사 시인 고장에서 재배한 국내 포도 품종인 ‘청수’를 이용하여 만든 화이트와인이다. 산도가 높고 당도가 낮아서 깔끔한 느낌을 주고, 풋사과 등의 과실 향이 매력적인 적당한 바디감의 와인이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6743407-264%20%EC%B2%AD%ED%8F%AC%EB%8F%84%EC%99%80%EC%9D%B8%20%EA%B4%91%EC%95%BC_main.jpg
6,264 청포도와인 광야 750ml,264청포도와인광야750ml,"광어 세비체, 흰살 생선 회, 유린기, 깐풍기와 더불어 산미가 있기 때문에 기름진 한우 구이나 족발과도 페어링이 좋다.",1,4,4,2,12.5,과실주,과일류,750ml,33000,"청포도, 설탕, 메타중아황산칼륨, 효모","“264청포도와인 광야”는 이육사 시인 고장에서 재배한 국내 포도 품종인 ‘청수’를 이용하여 만든 화이트와인이다. 산도가 높고 당도가 낮아서 깔끔한 느낌을 주고, 풋사과 등의 과실 향이 매력적인 적당한 바디감의 와인이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6743407-264%20%EC%B2%AD%ED%8F%AC%EB%8F%84%EC%99%80%EC%9D%B8%20%EA%B4%91%EC%95%BC_main.jpg
7,33JU 200ml,33ju200ml,"산양산삼 고유의 풍미가 진하게 느껴지고 부드러운 목 넘김으로 육사시미, 소고기구이, 회, 삼겹살과 잘 어울린다.",0,0,0,0,18,일반증류주,,200ml,23000,"산양산삼, 주정, 결정과당, 효소처리스테비아, 에리스리톨, 호박산, 꿀","강원도 깊은 산의 정기를 가득 품은 7년근 이상의 산양산삼을 3일 동안 고온과 저온 추출하여 3,333시간 숙성한 전통주로, 진하게 녹아든 진세노사이드(사포닌) 성분과 산양산삼 고유의 향이 진하게 풍기고 부드럽게 넘어가는 33JU다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598716-33JU_main.jpg
8,33JU 500ml,33ju500ml,"산양산삼 고유의 풍미가 진하게 느껴지고 부드러운 목 넘김으로 육사시미, 소고기구이, 회, 삼겹살과 잘 어울린다.",0,0,0,0,18,일반증류주,,500ml,49000,"산양산삼, 주정, 결정과당, 효소처리스테비아, 에리스리톨, 호박산, 꿀","강원도 깊은 산의 정기를 가득 품은 7년근 이상의 산양산삼을 3일 동안 고온과 저온 추출하여 3,333시간 숙성한 전통주로, 진하게 녹아든 진세노사이드(사포닌) 성분과 산양산삼 고유의 향이 진하게 풍기고 부드럽게 넘어가는 33JU다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598716-33JU_main.jpg
9,52C,52c,곱창구이와 잘 어우러진다.,0,0,0,0,17.5,일반증류주,,500ml,10000,"정제수, 주정, 쌀증류식소주원액, 오이",예전에 오이소주를 즐기던 사람이라면 오이 맛과 오이 향기만 있을 거라고 생각 할 수도 있다. 하지만 52C는 상압 증류한 쌀증류식 소주의 맛과 향기를 베이스로 지니고 있다. 여기에 오이향과 함께 연한 멜론향의 특징을 지니고 있다. 차게 해서 마셨을 경우 부드러운 증류식소주원액 베이스에 오이 특유의 시원한 청량감이 더해져 무더운 여름철 최고의 선택이 될 수 있다. 52C의 색감은 연한 연두색으로 자연이 주는 초록의 신선함을 눈으로도 즐길 수 있다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598734-52C_main.png
