index,제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,keyword,용량,가격,제조사,원재료,어울리는음식,사진URL,detailPageUrl,docId
0,1000억막걸리프리바이오,3.0,4.0,3.0,3,5,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀 밀,750ml,3500,(주)국순당,"쌀,밀,누룩,정제수",,,,legacy_0
1,1000억유산균막걸리,3.0,5.0,5.0,3,5,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀 밀  저도수,750ml,3200,(주)국순당,"쌀,밀,누룩,정제수",,,,legacy_1
2,1932새싹땅콩햅쌀막걸리,2.0,2.0,3.0,5,6,0.0,탁주,청량감 바디감     탁주 쌀 땅콩,900ml,15000,(주)1932포천일동막걸리,"쌀,땅콩농축액,입국,효모,고과당,정제효소제,정제수",,,,legacy_2
3,1932새싹땅콩흑미막걸리,3.0,1.0,1.0,4,6,0.0,탁주,단맛   바디감     탁주 쌀 땅콩,900ml,15000,(주)1932포천일동막걸리,"쌀,흑미,땅콩농축액,입국,효모,고과당,정제효소제,정제수",,,,legacy_3
4,33JU,3.0,,,1,18,0.0,증류주,향기 단맛        증류주 꿀 삼,200ml,23000,농업회사법인33가주식회사,"산양산삼,주정,결정과당,효소처리스테비아,에리스리톨,호박산,꿀",,,,legacy_4
5,52C,3.0,,,2,17.5,0.0,증류주,향기 단맛        증류주 쌀,500ml,10000,농업회사법인(주)청산녹수,"정제수,주정,쌀증류식소주원액,오이",,,,legacy_5
6,DMZ240km,2.0,,,3,25,0.0,기타주류,바디감     기타주류 꿀 버섯,450ml,10000,솔래원,"자연송이버섯,브랜디원액,블랙커런트,벌꿀",,,,legacy_6
7,The찾을수록시리즈,4.0,2.0,3.0,2,16,0.0,과실주,단맛  청량감      과실주 사과,360ml,9000,(주)한국애플리즈,"사과와인,정제수,정제주정외제품별농축액",,,,legacy_8
8,g12골디락스,2.0,2.0,2.0,3,12,0.0,탁주,바디감     탁주 쌀 찹쌀 밀  무감미료,500ml,12000,농업회사법인(주)청산녹수,"정제수,멥쌀,찹쌀,누룩,종국,효모,밀함유",,,,legacy_7
9,가덕 순쌀 막걸리,3.0,3.0,3.0,3,6,1.0,탁주,단맛 신맛 청량감 바디감  담백  탄산 탁주 쌀,750ml,13500,농업회사법인명세주가(주),"국내산쌀,효모,조효소재,물엿,아스파탐,정제수","미나리전, 고기 빈대떡, 오이무침, 족편 등 안주와 곁들이면 좋다.",https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726180526179_0TTMYF538.jpg/fe87_420_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=5804461&cid=58637&categoryId=58653,5804461
10,가을빛 레드와인,2.0,3.0,3.0,2,14,0.0,과실주,신맛 청량감      과실주 포도,750ml,35000,예인화원,포도,"다만 탄닌감은 적은 만큼 스테이크 등의 고기류보다는 나물, 잡채 등과 같은 자극성 적은 한식요리에 추천하고 싶다.",https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726160734633_X5FD1AN3U.jpg/fe87_379_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=5804502&cid=58637&categoryId=58657,5804502
11,가평 잣 막걸리,,,,,,,,,,,,,반찬으로 나오는 우리음식과 모두 잘 어울린다.,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170112175112768_WMICP3MQF.jpg/fe87_008_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=3551492&cid=58637&categoryId=58651,3551492
12,가평소주,,,,,,,,,,,,,중식이나 모둠 전과 같이 기름진 음식이나 매콤한 매운탕과 잘 어울린다.,https://dbscthumb-phinf.pstatic.net/4776_000_3/20241211185030851_CO6DGXATT.png/fe87_691_i1.png?type=m4500_4500_fst&wm=N,https://terms.naver.com/entry.naver?docId=6743424&cid=58637&categoryId=58651,6743424
13,가평잣생막걸리,2.0,2.0,3.0,3,6,0.0,탁주,청량감 바디감     탁주 쌀,750ml,1450,가평우리술,"쌀,정제수,쌀입국,잣,효모,정제효소등",,,,legacy_11
14,감 보드카,,,,3,32,0.0,증류주,바디감 목넘김    증류주,375ml,14000,양촌감영농조합법인,감,붉은 빛이 도는 생선회랑 잘 어울린다.,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726174041133_1Q26K5J0V.jpg/fe87_410_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=5804452&cid=58637&categoryId=58654,5804452
15,감그린 레귤러,3.0,3.0,3.0,2,12,0.0,과실주,단맛 신맛 청량감      과실주  이색전통주,750ml,18000,청도감와인(주),감,다만 자극성 적은 소고기류가 좋다.,https://dbscthumb-phinf.pstatic.net/4776_000_1/20181013020715463_KGFK8VS9E.jpg/fe87_281_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=5681174&cid=58637&categoryId=58657,5681174
16,감그린 스페셜,3.0,3.0,3.0,3,12,0.0,과실주,단맛 신맛 청량감 바디감     과실주  이색전통주,750ml,25000,청도감와인(주),감,다만 자극성 적은 소고기류가 좋다.,https://dbscthumb-phinf.pstatic.net/4776_000_2/20181017120058261_9LP7HYZZH.jpg/fe87_282_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=5681175&cid=58637&categoryId=58657,5681175
17,감그린 아이스와인,4.0,2.0,2.0,4,10,0.0,과실주,단맛   바디감     과실주  이색전통주,375ml,89000,청도감와인(주),감,"가벼운 맛의 모짜렐라 치즈부터 카망베르, 스모키 치즈까지 다양한 조합을 이룬다.",https://dbscthumb-phinf.pstatic.net/4776_000_1/20181013022632085_JS0FG3HC4.jpg/fe87_283_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=5681179&cid=58637&categoryId=58657,5681179
18,감사,2.0,2.0,,2,14,0.0,약주/청주,목넘김 담백   약주/청주 쌀  선물,375ml,15000,술샘,"쌀,누룩,정제수",전골류와 잘 어울린다.,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170224110222108_1TLD4VYWD.jpg/fe87_080_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=3551564&cid=58637&categoryId=58651,3551564
19,감아락 25도,,,,,,,,,,,,,견과류와 잘 어울린다.,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170522171007302_ZLYF3FJW5.jpg/fe87_168_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=3595273&cid=58637&categoryId=58651,3595273
20,감아락25,2.0,,,2,25,0.0,증류주,증류주 쌀  가을,500ml,26000,(주)배상면주가,"감증류원액,쌀",,,,legacy_17
21,감악산 머루주,4.0,4.0,3.0,3,12,0.0,과실주,단맛 신맛 청량감 바디감     과실주 머루,360ml,28000,산머루농원영농조합법인,"국내산산머루원액,주정","와인을 잘 못 마신다면, 추천하고 싶은 과실주이기도 하다.",https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824185213299_9BJJMDYTE.jpg/fe87_475_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=6040721&cid=58637&categoryId=58651,6040721
22,감이슬,,,,2,23,0.0,증류주,증류주  과일류,375ml,10000,양촌감영농조합법인,감,감이슬은 도수가 낮고 부드러워 누구나 편하게 마실 수 있는 증류주로 양념이 되지 않은 생선찜 등과 잘 어울린다.,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726174400158_LY0V6QH61.jpg/fe87_411_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=5804451&cid=58637&categoryId=58654,5804451
23,감자술 13%,3.0,2.0,3.0,2,13,0.0,약주/청주,단맛  청량감      약주/청주 감자  선물,700ml,14000,오대서주양조,"백미,감자,누룩,효모,정제수",기름진 감자전하고 즐기면 딱 좋은 맛이다.,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726173312428_9KUFPAV7J.jpg/fe87_407_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=5804435&cid=58637&categoryId=58652,5804435
24,감홍로,,,,,,,,,,,,,,https://dbscthumb-phinf.pstatic.net/5628_000_1/20181126160156467_Y85T2CVBV.jpg/fe115_12_i1.jpg?type=m4500_4500_fst_n&wm=Y,https://terms.naver.com/entry.naver?docId=5687178&cid=58637&categoryId=58651,5687178
25,감홍로백자,3.0,,,4,40,0.0,증류주,향기 단맛   바디감     증류주 쌀 약재,700ml,75000,농업회사법인(주)감홍로,"쌀,조,가지약재",,,,legacy_21
26,감홍로청자,3.0,,,4,40,0.0,증류주,향기 단맛   바디감     증류주 쌀 약재,700ml,90000,농업회사법인(주)감홍로,"쌀,조,가지약재",,,,legacy_22
27,강소주,,,,3,50,0.0,증류주,향기    바디감     증류주 쌀  소용량,"1,800ml",11000,내국양조,"국내산쌀,정제수",,,,legacy_23
28,강쇠,2.0,2.0,1.0,4,13,0.0,약주/청주,바디감     약주/청주 쌀 오가피,370ml,2500,농업회사법인(유)술소리,"쌀,누룩,오가피",,,,legacy_24
29,걍즐겨,3.0,4.0,3.0,3,8,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀 찹쌀  이색전통주,600ml,6000,디오케이브루어리,"찹쌀,멥살,누룩,석류,히비스커스,정제수",,,,legacy_25
30,겨울소주25,,,,4,25,0.0,증류주,향기    바디감 목넘김    증류주  겨울,360ml,10000,두이술공방,"증류원액,효모,효소,정제수",,,,legacy_26
31,경기전,2.0,3.0,4.0,2,5,0.0,기타주류,신맛 청량감      기타주류 보리  탄산,1000ml,27000,농업회사법인동문거리양조장(주)(전주술로시티),"보리,맥아,호프펠렛,효모,정제효소제,정제수",,,,legacy_27
32,계룡백일주12년,3.0,,,4,40,0.0,기타주류,향기 단맛   바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎,600ml,150000,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",,,,legacy_28
33,계룡백일주16,1.0,1.0,1.0,1,16,0.0,약주/청주,약주/청주 쌀 찹쌀 오미자 꽃 솔잎,700ml,18500,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",,,,legacy_29
34,계룡백일주30,2.0,,,3,30,0.0,기타주류,바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎,400ml,20000,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",,,,legacy_30
35,계룡백일주40,3.0,,,3,40,0.0,기타주류,향기 단맛   바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎,600ml,40000,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",,,,legacy_31
36,계룡산산삼주금수강산21,,,,2,21,0.0,증류주,증류주 삼  삼(蔘)류,740ml,110000,농업회사법인한국산삼(주),"산양산삼,정제주,주정",,,,legacy_32
37,계룡산산삼주금수강산40,,,,3,40,0.0,증류주,향기    바디감 목넘김    증류주 삼  삼(蔘)류,740ml,150000,농업회사법인한국산삼(주),"산양산삼,정제주,주정",,,,legacy_33
38,고구마아락,2.0,,,3,40,0.0,증류주,향기    바디감     증류주 보리 고구마,500ml,25000,농업회사법인배상면주가고창LB,"보리,고구마,정제수",,,,legacy_34
39,고도리레드와인스위트,3.0,3.0,2.0,3,12,0.0,과실주,단맛 신맛  바디감     과실주 포도 머루,750ml,22000,고도리와이너리,MBA머루포도,,,,legacy_35
40,고도리복숭아와인,4.0,3.0,3.0,2,6.5,0.0,과실주,단맛 신맛 청량감    탄닌감  과실주 복숭아  이색전통주,750ml,32000,고도리와이너리,복숭아,,,,legacy_36
41,고도리화이트와인드라이,2.0,3.0,3.0,2,10.5,0.0,과실주,신맛 청량감      과실주 포도  저도수,750ml,22000,고도리와이너리,거봉포도,,,,legacy_37
42,고도리화이트와인스위트,4.0,3.0,3.0,2,10.5,0.0,과실주,단맛 신맛 청량감      과실주 포도  저도수,750ml,22000,고도리와이너리,거봉포도,,,,legacy_38
43,고소리술,2.0,0.0,3.0,3,40,0.0,증류주,청량감 바디감     증류주 쌀  선물,375ml,25000,제주샘영농조합법인,"쌀,차조,입국,누룩,효모,효소,정제수,스테비올배당체",,,,legacy_39
44,고운달백자,,,,5,52,0.0,증류주,향기    바디감 목넘김    증류주 오미자  선물,200ml,"180,000",농업회사법인(주)제이엘,오미자,,,,legacy_40
45,고운달오크,,,,5,52,0.0,증류주,향기    바디감 목넘김    증류주 오미자  선물,200ml,"180,000",농업회사법인(주)제이엘,오미자,,,,legacy_41
46,고창선운산땡큐복분자주,3.0,1.0,3.0,2,13,0.0,과실주,단맛  청량감      과실주 복분자  소용량,300ml,2500,농업회사법인고창선운산(유),"복분자과실,주정,효모,구연산,정제수",,,,legacy_42
47,고창선운산땡큐블루베리주,2.0,2.0,2.0,2,13,0.0,과실주,과실주 베리  소용량,300ml,2000,농업회사법인고창선운산(유),"블루베리과실,주정,효모,구연산,정제수",,,,legacy_43
48,고창선운산복분자주특1호,3.0,1.0,3.0,2,15,0.0,과실주,단맛  청량감      과실주 복분자,"1,800ml",27000,농업회사법인고창선운산(유),"복분자과실,주정,효모,구연산,정제수",,,,legacy_44
49,공주애오디와인,3.0,2.0,3.0,1,15,0.0,과실주,단맛  청량감      과실주 오디,375ml,6000,농업회사법인사곡양조원,"국내산오디,정제수,주정,과당,효모",,,,legacy_45
50,구기홍주14,3.0,1.0,2.0,3,14,0.0,약주/청주,단맛   바디감  담백   약주/청주 쌀 구기자  선물,360ml,10000,두이술공방,"쌀,국,구기자추출액,올리고당,효모,효소,아세설팜칼륨,정제수",,,,legacy_46
51,구름을벗삼아,3.0,3.0,3.0,3,6,1.0,탁주,단맛 신맛 청량감 바디감    탄산 탁주 쌀 찹쌀  무감미료,750ml,1500,문경주조,"정제수,찹쌀·백미,입국등",,,,legacy_47
52,귀감,,,,3,25,0.0,증류주,향기    바디감     증류주 귤  과일류,350ml,25000,농업회사법인(주)시트러스,"감귤과즙,백설탕,액상효모,스테비올배당체,무수아황산",,,,legacy_48
